FID,OBJECTID,SHAPE,BAUM_ID,DATENFUEHRUNG,BEZIRK,OBJEKT_STRASSE,GEBIETSGRUPPE,GATTUNG_ART,PFLANZJAHR,PFLANZJAHR_TXT,STAMMUMFANG,STAMMUMFANG_TXT,BAUMHOEHE,BAUMHOEHE_TXT,KRONENDURCHMESSER,KRONENDURCHMESSER_TXT,BAUMNUMMER,SE_ANNO_CAD_DATA
BAUMKATOGD.576868233,576868233,POINT (16.36415597476052 48.22678691262096),350384,magistrat,9,Alserbachstraße,"MA 28 - Straße, Grünanlage",Sophora japonica 'Regent' (Pagodenschnurbaum),2019,2019,25,25 cm,1,0-5 m,1,0-3 m,1012,
BAUMKATOGD.576868234,576868234,POINT (16.300349432206712 48.14932839960862),369082,magistrat,23,"23., Parkanlage Stadtpark Atzgersdorf, MA42",MA 42 - Parkanlage,Taxus baccata (Heimische Eibe),0,nicht definiert,77,77 cm,2,6-10 m,2,4-6 m,233,
BAUMKATOGD.576868235,576868235,POINT (16.377556875919407 48.24714098511956),232126,magistrat,20,Aignerstraße,"MA 28 - Straße, Grünanlage",Pterocarya rhoifolia 'Kyoto Convention' (Japanische Flügelnuss),2014,2014,31,31 cm,1,0-5 m,1,0-3 m,2012,
BAUMKATOGD.576868236,576868236,POINT (16.362448232732813 48.24773583666393),36536,magistrat,19,Heiligenstädter Straße,"MA 28 - Straße, Grünanlage",Tilia platyphyllos (Sommerlinde),1870,1870,185,185 cm,4,16-20 m,4,10-12 m,4029,
BAUMKATOGD.576868237,576868237,POINT (16.287702709844165 48.15209307676001),268673,magistrat,23,"23., Parkanlage Pölleritzergasse, MA42",MA 42 - Parkanlage,Juglans regia (Walnussbaum),0,nicht definiert,135,135 cm,3,11-15 m,2,4-6 m,30,
BAUMKATOGD.576868238,576868238,POINT (16.375226945429695 48.24624698155212),25490,magistrat,20,Aignerstraße,"MA 28 - Straße, Grünanlage",Acer platanoides (Spitzahorn),1996,1996,119,119 cm,3,11-15 m,3,7-9 m,1001,
BAUMKATOGD.576868239,576868239,POINT (16.36439816741764 48.226895401144446),350385,magistrat,9,Alserbachstraße,"MA 28 - Straße, Grünanlage",Sophora japonica 'Regent' (Pagodenschnurbaum),2019,2019,23,23 cm,1,0-5 m,1,0-3 m,1013,
BAUMKATOGD.576868240,576868240,POINT (16.36374595060172 48.22668709748087),186322,magistrat,9,Grundlgasse,"MA 28 - Straße, Grünanlage",Corylus colurna (Baumhasel),2011,2011,41,41 cm,2,6-10 m,1,0-3 m,1001,
BAUMKATOGD.576868241,576868241,POINT (16.362782611742382 48.24860557781074),36547,magistrat,19,Heiligenstädter Straße,"MA 28 - Straße, Grünanlage",Tilia cordata (Winterlinde),1940,1940,158,158 cm,3,11-15 m,3,7-9 m,4040,
BAUMKATOGD.576868242,576868242,POINT (16.364645742191332 48.2175488892131),233162,magistrat,9,"09., Erwin-Ringel-Park, MA42",MA 42 - Parkanlage,Fagus sylvatica (Rotbuche),1992,1992,92,92 cm,3,11-15 m,3,7-9 m,25,
BAUMKATOGD.576868243,576868243,POINT (16.287599353533842 48.15209788955083),268674,magistrat,23,"23., Parkanlage Pölleritzergasse, MA42",MA 42 - Parkanlage,Prunus avium (Vogelkirsche),0,nicht definiert,87,87 cm,3,11-15 m,2,4-6 m,31,
BAUMKATOGD.576868244,576868244,POINT (16.360226853297373 48.2208798133874),137001,magistrat,9,Ari-Rath-Platz,"MA 28 - Straße, Grünanlage",Fraxinus excelsior 'Diversifolia' (Einblättrige Esche),2007,2007,72,72 cm,2,6-10 m,3,7-9 m,2001,
BAUMKATOGD.576868245,576868245,POINT (16.375371598642957 48.24630637706627),352970,magistrat,20,Aignerstraße,"MA 28 - Straße, Grünanlage",Tilia tomentosa 'Sisi' (Silberlinde),2022,2022,21,21 cm,1,0-5 m,1,0-3 m,1002,
BAUMKATOGD.576868246,576868246,POINT (16.42199719996283 48.27616511804615),337108,magistrat,21,Ruthnergasse,"MA 28 - Straße, Grünanlage",Acer campestre 'Elsrijk' (Feldahorn),2021,2021,20,20 cm,1,0-5 m,1,0-3 m,102,
BAUMKATOGD.576868247,576868247,POINT (16.422173633423572 48.27637407606976),22444,magistrat,21,Ruthnergasse,"MA 28 - Straße, Grünanlage",Acer pseudoplatanus (Bergahorn),2005,2005,35,35 cm,1,0-5 m,1,0-3 m,104,
BAUMKATOGD.576868249,576868249,POINT (16.360174137300877 48.22096184240735),137003,magistrat,9,Ari-Rath-Platz,"MA 28 - Straße, Grünanlage",Fraxinus excelsior 'Diversifolia' (Einblättrige Esche),2007,2007,63,63 cm,2,6-10 m,2,4-6 m,2002,
BAUMKATOGD.576868250,576868250,POINT (16.34783238125065 48.18833903659476),104730,magistrat,5,Am Hundsturm,"MA 28 - Straße, Grünanlage",Koelreuteria paniculata (Blasenbaum),1997,1997,70,70 cm,1,0-5 m,2,4-6 m,1002,
BAUMKATOGD.576868251,576868251,POINT (16.360033844190507 48.22111547551235),137005,magistrat,9,Ari-Rath-Platz,"MA 28 - Straße, Grünanlage",Fraxinus excelsior 'Diversifolia' (Einblättrige Esche),2007,2007,71,71 cm,2,6-10 m,2,4-6 m,2004,
BAUMKATOGD.576868252,576868252,POINT (16.422260027317947 48.27647581344289),22445,magistrat,21,Ruthnergasse,"MA 28 - Straße, Grünanlage",Acer pseudoplatanus (Bergahorn),1983,1983,105,105 cm,2,6-10 m,2,4-6 m,105,
